ID	FORM	GLOSS	GLOSS_IN_SOURCE	OCCURRENCE	REF
33	kaikui	jaguar	jaguar	6	59:2:0 60:1:0 130:2:0 131:1:0 243:1:0 251:0:0
34	ai	be	be	5	243:0:3 259:0:4 260:0:3 261:0:3 262:0:1
35	enta	wake up	wake.up	5	160:0:1 161:0:1 162:0:1 163:0:1 238:0:0
36	po		LOC	5	243:0:1 257:0:1 258:0:1 261:0:1 266:0:1
37	s	1A	1A	5	136:0:0 140:0:0 144:0:0 148:0:0 250:0:0
38	se		DES	5	251:1:2 252:1:1 253:1:1 256:1:0 265:0:1
39	tɨɨka	tobacco	tobacco	5	30:2:0 31:1:0 84:1:0 128:2:0 129:1:0
40	aamiita	blush	blush	4	184:0:1 185:0:0 186:0:1 187:0:1
41	aeruta	make noise	make.noise	4	188:0:1 189:0:0 190:0:1 191:0:1
42	akinta	get tired	get.tired	4	164:0:1 165:0:1 166:0:1 167:0:1
43	anota	fall	fall	4	176:0:1 177:0:1 178:0:1 179:0:1
44	apəəna	finish	finish	4	172:0:1 173:0:1 174:0:1 175:0:1
45	eerana	laugh	laugh	4	196:0:1 197:0:1 198:0:1 199:0:1
46	eeseka	jump	jump	4	148:0:1 149:0:1 150:0:1 151:0:1
47	ehtarənma	get ready	get.ready	4	144:0:1 145:0:1 146:0:1 147:0:1
48	emamina	play	play	4	132:0:1 133:0:1 134:0:1 135:0:1
49	entapo	yawn	yawn	4	140:0:1 141:0:1 142:0:1 143:0:1
50	eperu	fruit	fruit	4	53:1:0 124:1:0 207:1:0 266:2:0
51	epɨ	bathe	bathe	4	136:0:1 137:0:1 138:0:1 139:0:1
52	i		HYP	4	239:0:2 240:1:2 244:1:1 246:0:2
53	i	3	3	4	240:0:0 243:2:0 246:0:0 251:1:0
54	ji	1P	1P	4	5:0:0 156:0:0 228:0:0 235:0:0
55	karaiwa	Brazilian	Brazilian	4	213:2:0 214:1:0 215:2:0 216:1:0
56	ke	1+2A	1+2A	4	17:0:0 139:0:0 202:0:0 219:0:0
57	kɨ	1+2P	1+2P	4	7:0:0 159:0:0 230:0:0 237:0:0
58	mahto	fire	fire	4	22:1:0 55:1:0 61:2:0 62:1:0
59	ni	3	3	4	4:0:0 158:0:0 227:0:0 234:0:0
60	oonapijuhta	have running nose	have.running.nose	4	192:0:1 193:0:0 194:0:1 195:0:1
61	osita	have rash	have.rash	4	168:0:1 169:0:1 170:0:1 171:0:1
62	tarɨpɨ	monkey	monkey	4	54:1:0 123:1:0 248:0:0 254:0:0
63	tatɨ	get lost	get.lost	4	156:0:1 157:0:1 158:0:1 159:0:1
64	urakana	stroll	stroll	4	180:0:1 181:0:1 182:0:1 183:0:1
65	ənə	eat	eat	4	239:0:1 240:1:1 252:1:0 255:0:1
66	əturu	talk	talk	4	152:0:1 153:0:1 154:0:1 155:0:1
67	kii	1+2A	1+2A	3	3:0:0 226:0:0 233:0:0
68	kə		IMP	3	249:0:1 254:1:1 255:0:2
69	mi	2A	2A	3	2:0:0 225:0:0 232:0:0
70	mo		IRR	3	239:0:3 240:0:2 246:0:3
71	wi	1A	1A	3	1:0:0 224:0:0 231:0:0
72	j	1	1	2	252:0:0 253:0:0
73	ja	PRS IPFV	PRS.IPFV	2	247:0:3 266:3:1
74	ji	1	1	2	242:2:0 259:1:0
75	me		ATTRZ	2	259:0:2 260:0:1
76	n		UNCERT	2	247:0:4 266:3:2
77	o	2P	2P	2	37:0:0 169:0:0
78	pa		REP	2	238:2:4 241:0:1
79	pahko	my father	my.father	2	241:0:0 242:0:0
80	pakoro	house	house	2	261:0:0 265:0:0
81	pun	meat	meat	2	86:1:0 240:0:1
82	təpu	Tëpu	Tëpu	2	257:0:0 258:0:0
83	wə	shoot	shoot	2	248:1:1 254:1:0
84	ahtao	when	when	1	238:1:0
85	an	where	where	1	243:0:0
86	apoto	helper	helper	1	245:0:1
87	apə	catch	catch	1	244:1:0
88	apəə	catch	catch	1	247:0:2
89	e		DETRZ	1	250:0:1
90	e		SUP	1	248:1:2
91	ekɨ	pet	pet	1	253:0:1
92	eneh	bring	bring	1	238:2:1
93	fevereiro	February	February	1	266:0:0
94	hpə	NMLZ PST	NMLZ.PST	1	243:2:2
95	kon		PL	1	256:0:2
96	ma	VBZ BEN	VBZ.BEN	1	245:0:2
97	mono	big one	big.one	1	260:0:0
98	məe	3PRO	3PRO	1	260:1:0
99	ne	AGT NMLZ	AGT.NMLZ	1	259:0:1
100	otɨ	meat	meat	1	252:0:1
101	pakira	peccary	peccary	1	244:0:0
102	panawaa	friend	friend	1	256:0:1
103	pijokɨ	hit	hit	1	251:1:1
104	po		CAUS	1	245:0:3
105	pəə	gather	gather	1	266:3:0
106	pɨ	bathe	bathe	1	253:1:0
107	t	1A	1A	1	152:0:0
108	t	3	3	1	255:0:0
109	ta	FUT IPFV	FUT.IPFV	1	238:2:2
110	tarəno	Tiriyó	Tiriyó	1	266:1:0
111	ti		PL	1	245:0:4
112	to		3PL	1	247:0:5
113	ton		PL	1	266:1:1
114	tuuwə		POSTE	1	238:0:1
115	tɨ	3	3	1	248:1:0
116	ə	2	2	1	256:0:0
117	ət		DETRZ	1	247:0:1
